description,category
I would just like to add …,ignore
May I come in here please?,ignore
Sorry  could you speak up a little please? I can’t hear you at the back.,ignore
If I could have a chance to speak for a moment please.,ignore
I am glad you brought that up. I had like to add …,key point
I am afraid I had have to disagree with you on that.,decision
I would just like to say that …,key point
Excuse me for interrupting …,ignore
I really feel that …,key point
The way I see things …,key point
In my opinion …,key point
Sarma  could you please tell us how … is progressing?,key point
Sarma  how is the … coming along?,ignore
Next  Sarma will talk us through …,ignore
(Name  have you managed to complete the …?,ignore
Sarma  when can we expect to hear about …?,ignore
Has everyone received a copy of …?,ignore
Sarma  can we have your input on … please?,ignore
How do you feel about …?,ignore
Are you positive that …?,ignore
What do you think about …,ignore
What are your views on …?,ignore
Now  I had like to hand over to Sarma  who will talk about …,key point
This brings us to the next topic on the agenda  which will be introduced by Sarma.,key point
Why do not we move on to …,ignore
If no one has anything else to add  Let us move on to …,ignore
I do not quite follow you. What exactly do you mean?,key point
I do not see what you mean. Could you elaborate please?,key point
I am afraid I do not quite understand what you were getting at.,key point
Could you please explain to me how that is going to work?,key point
Do you mean that …?,key point
So what you were saying is that … (repeat what they said to get confirmation),key point
You did say … didn’t you?,key point
Could you spell that please?,key point
Would you mind spelling that for me please?,key point
(repeat what they said in your own words) … is that what you mean?,key point
Is it true that …?,key point
Correct me if I am wrong please  you were saying … (reiterate what they said),key point
Is there any other business?,ignore
Does anyone have any other business?,ignore
Any other business?,ignore
Would anyone like to make any final points?,ignore
If there are no further points  I had like to bring the meeting to a close.,ignore
Before we close the meeting  I had like to briefly summarise the main points …,key point
Let me quickly go over today’s main points.,ignore
To sum up …,ignore
Right  why do not we summarise what we have agreed on today.,ignore
Shall I go over the main points before we adjourn?,ignore
I guess that will be all for today  thank you for taking part.,ignore
I think we should finish here.,ignore
We seem to have been very efficient today  so Let us wrap up early.,key point
We have covered everything on the agenda  so Let us end it here.,key point
If there is nothing else to add  I had like to adjourn the meeting.,ignore
If there are no other comments  I had like to wrap this meeting up.,ignore
It looks like we have finished ahead of schedule  so Let us finish up here.,ignore
I am afraid We were going to have to cut this meeting short. I’ve just been informed of an urgent matter that needs to be dealt with immediately.,key point
I am afraid we shall have to end this meeting here. Let us rearrange and continue this discussion another time.,key point
Thank you all for your input today.,ignore
Thank you for your participation.,ignore
Let us end this here  shall we? I am sure you all have other important work to get back to.,ignore
Before you leave  please remember to sign the attendance sheet,key point
I almost forgot to mention….,key point
I had like to thank Sarma for …,key point
Sorry  could I please have your attention for one more moment. I forgot to say…,key point
Before we go  Let us put our hands together for (clap or say congratulations)….,key point
Most of you probably know this already  but I had like to formally congratulate….,key point
Please do not forget to hand in your votes by the end of the week.,key point
I look forward to receiving emails from you all about your final vote.,key point
The minutes of the meeting will be sent to you all by (persons name and/or time/date) …,key point
If anyone has any further questions  or would like to give any feedback privately  then please feel free to email me.,key point
I do not think you\'ve met Daniel,ignore
Have you all received a copy of the agenda,ignore
There are three items on the agenda. First,ignore
Shall we take the points in this order?,ignore
If you do not mind I had like to . go in order (OR),ignore
sexy lady in the town,ignore
jungle bool,ignore
dude what is this,ignore
hey man  whats up,ignore
cool dude,ignore
Is this article of association.,ignore
decrease in the premium anything that<font color,ignore
indicated in red is a change,ignore
if you go over a primary font colour,ignore
cooking that next time must be special,ignore
that would be a special okay,ignore
choices every I mean she was good,ignore
urgent care program it would go,ignore
furthered say the same and then you can tell,ignore
way would you prefer specialty,ignore
for human sensor now number,ignore
the current time now to that,ignore
change and so is coming back for revenge,ignore
work and then there are so many options,ignore
differences easy sending right now for the love,ignore
people did utilize my cars,ignore
we the provider so the concern is eliminated.,ignore
I have talked about this long back,ignore
Coverage but it needs to be essentially,ignore
loose changes especially the same for both size,ignore
coverage or is it going to be seen as an key point player,ignore
where it happened and what are the impace,ignore
all this information are stored,ignore
we got some really negative environment,ignore
feedback they were happier with the VSP,ignore
involvement I met back at we can do this,ignore
Individually so I I do not know.,ignore
The California Department of Motor Vehicles will allow autonomous cars,ignore
released its revised regulations today governing the safe,ignore
which will then begin enforcing them,ignore
California is an obvious hotbed for autonomous vehicle testing,ignore
Google and Uber that are developing fleets,ignore
self-driving cars for public use,ignore
safety drivers are licensed to test those vehicles,ignore
companies would be allowed to deploy cars,ignore
without any human behind the wheel,ignore
The rules are a stark departure from,ignore
the original proposal issued in decision015,ignore
Those draft regulations would have put,ignore
But then in May the agency,ignore
putting out a new proposal that would not only,ignore
allow for the testing of self-driving cars without,ignore
including new provisions requiring manufacturers,ignore
to notify local governments when they plan,ignore
on testing autonomous vehicles in their cities,ignore
a new template for manufacturers to report,ignore
the number of times the vehicle forced,ignore
the human driver to take control because it couldnot,ignore
safely navigate the conditions on the road.,ignore
And operators will be required to report to the state,ignore
when some technological upgrades are made,ignore
such as a change in the level of automation,ignore
The state is not changing its prohibition,ignore
n the testing of autonomous trucks arguing that,ignore
a separate rule-making process will be needed to allow for,ignore
the testing of self-driving vehicles.,ignore
evolve does that get us out of this that,ignore
math about how to do current plans are,ignore
always been so work really important to,ignore
any questions everybody waits,ignore
it was well maintained,ignore
negotiate this out of a contract,ignore
be like yeah yeah would not happen,ignore
Angolan contract that I really that,ignore
I thought why why if you are changing,ignore
wrong on make on the way you speak,ignore
vision insurance and I mean the feedback,ignore
the people that were,ignore
were pretty vocal yeah and it,ignore
referrals welfare and there,ignore
o Bilborough early than the age,ignore
word is water more fun,ignore
when they emails that that,ignore
me at one time so we are going to do,ignore
I just came up I wanna change,ignore
come on you know the pacific-1decision online,ignore
referral little mission,ignore
options like a formal the the ER,ignore
urgent care proteins are kinda would fit,ignore
a huge industry right but it is an,ignore
increase is there any wiggle room fit,ignore
matching is close to close a break over,ignore
ok methodology what that does is going,ignore
calories to too much of it,ignore
to them as well why would,ignore
get bombarded by questions all along,ignore
deal for it yes it will,ignore
know should be on their children,ignore
entures are questions that,ignore
little bit about everything,ignore
ventures are questions that,ignore
received anything from any of the guy,ignore
I?m more than happy to speak with you,ignore
Please stop by my office next week,ignore
Would you like a drink?,ignore
We?re going to be late,ignore
But I do need help with directions,ignore
 I was just thinking about you,ignore
how are things at the office,ignore
Can you hear me now,ignore
I haven?t seen you in ages,ignore
what do you think of this shirt,ignore
It?s freezing outside,ignore
What happened to the weather report,ignore
Can we go inside,ignore
 I?ll be your waiter today,ignore
Yes. I?ll have iced tea please,ignore
I think we?re ready,ignore
What seems to be the problem,ignore
I also have a headache,ignore
How long have you had these symptoms,ignore
 And I?m really tired too,ignore
 It sounds like you?ve got the flu,ignore
Make sure you drink lots of fluids,ignore
Are we all on?,ignore
Can I ask that we all state our names please,ignore
Can everybody hear me,ignore
Could you speak more slowly please,ignore
Could you repeat that please,ignore
Would you mind spelling that for me please,ignore
Could you explain that in another way please,ignore
I?m afraid I didn?t get that,ignore
I need to leave for ten minutes. Is that okay with everyone?,ignore
I?m back on the line again.,ignore
just coming back in here thanks everyone,ignore
I didn?t quite hear that sorry ,ignore
I didn?t catch that last bit,ignore
can you say that again,ignore
Am I to understand that,ignore
Sorry but just to clarify,ignore
When are you free,ignore
I have  a concern about the people that leaving the projects very soon,ignore
On his desk is a mass of books and papers.,ignore
the sheer volume of traffic on our motorways,ignore
his portion of the inheritance,ignore
A cardinal rule or quality is the one that is considered to be the most important.,ignore
Put all complex motions and resolutions in writing,ignore
Listen to the remarks of others with an open mind,ignore
Address all remarks through the chair.,ignore
Avoid emotional and tactless remarks.,ignore
Address all remarks through the chair.,ignore
Put all complex motions and resolutions in writing.,ignore
Listen to the remarks of others with an open mind.,ignore
Avoid asking the recording secretary to run errands for me during the meeting.,ignore
Be familiar with the agreed upon procedures used to govern the meeting.,ignore
 but the current survey is slanted toward the existing Rust community and does not give us as much insight into people who have not yet gotten on board,ignore
i was wondering how best to address that; it\'d be great to use that high profile post to get more insight *beyond* the current community,ignore
but it might want to be an entirely different and much shorter survey,ignore
 there?s a little bit of the new user stuff at the end? we could move things around and expand for new users,ignore
how is the wether i,ignore
are u coming to bagalore,ignore
had your lunch,ignore
how about your friends,ignore
My son just took a low-paying internship position with a large company. He was happy to get his foot in the door at a well-known respected company.,ignore
Winning the lottery is a long shot but millions of people still buy lottery tickets.,ignore
If you want to fill out form 5decision-E and send it to the government you have to do it using snail mail. They do not allow you to scan the document.,ignore
We offered them a very generous price on their first order and everything shipped on time. We really started off on the right foot.,ignore
Please join me in welcoming Daniel,ignore
We were pleased to welcome Daniel,ignore
It\'s a pleasure to welcome Daniel,ignore
I had like to introduce Daniel,ignore
We were here today to,ignore
I\'ve called this meeting in order to .,ignore
I am afraid.Daniel can\'t be with us today. She is in.,key point
I have received apologies for the absence of Daniel who is in (place).,key point
I am afraid Peter can\'t be with us today. He\'s in London meeting with clients but will be back next week.,key point
skip item key point and move on to item action point,ignore
I suggest we go round the table first.,key point
Introducing the First Item on the Agenda,key point
So let\'s start with,ignore
Shall we start with. .,ignore
So the first item on the agenda is,key point
Pete would you like to kick off?,ignore
Martin would you like to introduce this item?,ignore
I think that covers the first item.,ignore
If nobody has anything else to add,ignore
I think that covers the important points of the merger.,key point
The next item on the agenda is,ignore
To sum up .,ignore
In brief,ignore
Shall I go over the main points?,ignore
I had like to thank Marianne and Jeremy for coming over from London.,ignore
Thank you all for attending.,ignore
Thanks for your participation.,ignore
Opening the Meeting,ignore
Welcoming and Introducing Participants,ignore
Stating the Principal Objectives of a Meeting,ignore
Giving Apologies for Someone Who is Absent,ignore
Introducing the Agenda,key point
Introducing the First Item on the Agenda,key point
Summarizing,key point
Finishing Up,key point
Thanking Participants for Attending,ignore
Closing the Meeting,ignore
Good morning/afternoon everyone.,ignore
If we are all here let\'s get started / start the meeting / start.,ignore
Welcoming and Introducing,ignore
Please join me in welcoming Daniel,ignore
We were pleased to welcome Daniel,ignore
I had like to extend a warm welcome to Daniel,ignore
It\'s a pleasure to welcome Daniel,ignore
I had like to introduce Daniel,ignore
Giving Apologies for Someone Who is Absent,ignore
I am afraid.Daniel can\'t be with us today. She is in.,ignore
Unfortunately Daniel . will not be with us to day because he .,ignore
I have received apologies for absence from Daniel who is in (place).,ignore
Jack can you tell us how the XYZ project is progressing?,ignore
Moving Forward,ignore
Introducing the Agenda,ignore
Have you all received a copy of the agenda?,ignore
There are X items on the agenda. First . second . third . lastly .,key point
Shall we take the points in this order?,ignore
If you do not mind I had like to go in order today.,ignore
skip item key point and move on to item action point,key point
I suggest we take item decision last.,key point
I suggest we go round the table first.,key point
Let\'s make sure we finish by .,key point
I had suggest we .,key point
There will be five minutes for each item.,key point
We\'ll have to keep each item to key point5 minutes. Otherwise we\'ll never get through.,key point
Shall we start with .,ignore
I think that takes care of the first item.,key point
Shall we leave that item?,ignore
Why do not we move on to.,ignore
If nobody has anything else to add lets .,ignore
Next Item,ignore
Let\'s move onto the next item,ignore
Now that we\'ve discussed X let\'s now .,ignore
The next item on today\'s agenda is.,key point
Now we come to the question of.,key point
Giving Control to the Next Participant,ignore
I had like to hand over to Daniel who is going to lead the next point.,key point
Next Daniel is going to take us through .,key point
Now I had like to introduce Daniel who is going to .,key point
Summarizing,key point
Right it looks as though we\'ve covered the main items.,key point
If there are no other comments I had like to wrap this meeting up.,ignore
Let\'s bring this to a close for today.,key point
Is there Any Other Business?,ignore
Getting the Chairperson\'s Attention,key point
(Mister/Madam) chairman.,key point
May I have a word?,ignore
If I may I think.,key point
Excuse me for interrupting.,ignore
May I come in here?,ignore
Giving Opinions,key point
I am positive that.,key point
I (really) feel that.,key point
In my opinion.,key point
The way I see things.,key point
If you ask me. I tend to think that.,key point
Asking for Opinions,key point
Are you positive that.,key point
Do you (really) think that.,key point
Daniel can we get your input?,key point
How do you feel about.?,key point
Commenting,key point
That\'s interesting .,key point
I never thought about it that way before.,key point
Good point!,key point
I get your point.,key point
I see what you mean.,key point
Let me spell out.,key point
Have I made that clear?,key point
Do you see what I am getting at?,key point
Let me put this another way.,key point
I had just like to repeat that.,key point
Requesting Information,key point
Please could you.,key point
I had like you to.,key point
Would you mind.,key point
I wonder if you could.,key point
Asking for Repetition,key point
I am afraid I didn\'t understand that. Could you repeat what you just said,key point
I didn\'t catch that. Could you repeat that please,key point
I missed that. Could you say it again please,key point
Could you run that by me one more time,key point
Asking for Clarification,key point
I do not quite follow you. What exactly do you mean,key point
I am afraid I do not quite understand what your are getting at.,key point
Could you explain to me how that is going to work?,key point
I do not see what you mean. Could we have some more details please?,key point
You did say next week didn\'t you? (\'did\' is stressed),key point
Do you mean that.,ignore
Asking for Spelling,ignore
Could you spell that please,ignore
Would you mind spelling that for me please,ignore
Asking for Contributions,key point
We have not heard from you yet Daniel.,key point
What do you think about this proposal,key point
Would you like to add anything Daniel,key point
Has anyone else got anything to contribute,key point
Are there any more comments,key point
Correcting Information,ignore
Sorry I think you misunderstood what I said.,key point
Sorry that\'s not quite right.,key point
I am afraid you do not understand what I am saying.,key point
That\'s not quite what I had in mind.,ignore
That\'s not what I meant.,ignore
Well that seems to be all the time we have today.,ignore
Please be brief.,key point
I am afraid we\'ve run out of time.,key point
I am afraid that\'s outside the scope of this meeting.,key point
Let\'s get back on track why do not we?,key point
That\'s not really why We were here today.,key point
Why do not we return to the main focus of today\'s meeting.,key point
We\'ll have to leave that to another time.,key point
We were beginning to lose sight of the main point.,key point
Keep to the point please.,key point
I do not remember being an issue did to that it so there we have it.,key point
apologies for joining the late in meeting,ignore
Bye-laws always work,key point
These are all casting vote guys,key point
List of executive for the invite,key point
It was wonderful and extraordinary meeting,key point
You shold not lisitin to the ex officio,key point
These Guillotine need to be in the change,key point
These are honoary post  keep in mind,key point
Information which is in meeting is not really correct,key point
Intra vires are changing the process,ignore
This is not like life on the table,ignore
Mark these in lovvying,ignore
Have you checked the quorum,ignore
Please ask my secretary to help you in that,ignore
Having shelve is a good things,ignore
It might be sine die,ignore
You should write to standing committee,ignore
These batch of products are on standing orders,key point
That has been taken as read,key point
It seems like ultra vires,key point
do not ask unanimous questions,ignore
Your objective should be clear,key point
We are getting very good feedback from Clients,key point
Next week so three days,ignore
option it is give every girl that would,ignore
universes come off the ride,ignore
It?s a pleasure to meet you,ignore
Thank you so much for helping us,ignore
 I will be able to answer your questions,ignore
 I?ll see you later then,ignore
 That?s my field too,ignore
I work for the United Nations,ignore
Welcome everybody,key point
my name is Shyam,key point
I?m the designer for XYZ Video,key point
 I?m going to keep this brief,key point
I know you?re all busy people,key point
I?m going to make this quick for you,key point
Today I?m here to talk to you about,key point
I?m delighted to be here today to tell you about,key point
Today I would like to outline our plans for,key point
I?ll start with some general information on,key point
I will be glad to answer any questions,key point
you may have at the end of this presentation.,key point
Well that brings me to the end of my presentation,key point
thanks so much for listening,key point
It was a real pleasure being here today,key point
Goodbye and thank you,ignore
Well that?s it from me,ignore
Thanks a lot,ignore
Sorry I interrupted you. ,ignore
You were saying,ignore
Please go on,ignore
After you,ignore
I?m sorry but could you speak up a little,key point
So what we?re saying is,key point
That?s an excellent point,key point
can I tell you how we see it,key point
I understand that we can?t do that,key point
I hear what you?re saying,key point
we can?t budge,key point
your earliest convenience,key point
Are you free to talk again next week,key point
When can we talk about this again,ignore
What time was the meeting again,ignore
I have another appointment that conflicts with your meeting,key point
 I will not be able to make it,key point
I have a question,ignore
Why is marketing not handling the portion on end user analysis,key point
They usually did this work in the past,key point
Did you think the meeting went ok,ignore
Can you provide feedback on the meeting we just had,key point
Did you find the meeting useful,ignore
Did the meeting help to clarify the current situation,ignore
Is there any part of our discussion during the meeting  ,key point
you are still unsure about,key point
I thought the presentation went well,key point
 You provided great information and I think everyone was impressed,key point
The meeting went well,key point
The whole presentation went pretty well,key point
our weekly meeting is pretty dull,key point
Most of the time our weekly meeting is pretty dull,key point
I have had more than my share of adventures.,key point
She had to be held back by main force.,key point
AGM: Annual General Meeting: all members are usually eligible to attend,key point
Apologies: excuses given in advance for inability to attend a meeting,key point
Articles of Association: rules required by Company law which govern a company\'s activities,key point
Attendance list: in some committees a list is passed round to be signed as a record of attendance,key point
Bye-laws: rules regulating an organisation\'s activities,key point
Casting vote: by convention some committee chairmen may use a \'casting vote\' to reach a decision if votes are equally divided,key point
Chairman: leader or person given authority to conduct a meeting,key point
Committee: a group of people usually elected or appointed who meet to conduct agreed business and report to a senior body,key point
Consensus: agreement by general consent no formal vote being taken,key point
Constitution: set of rules governing activities of voluntary bodies,key point
Information Point ofÿ: the drawing of attention in a meeting to a relevant item of fact,key point
Intra vires: within the power of the committee or meeting to discuss carry out,key point
Lobbying: a practice of seeking members\' support before a meeting,key point
Mover: one who speaks on behalf of a motion,key point
Nem con: from Latin literally \'no one speaking against\',key point
Opposer: one who speaks against a motion,key point
Order point of: the drawing of attention to a breach of rules or procedures,key point
Other business: either items left over from a previous meeting or items discussed after the main business of a meeting,key point
Point of order: proceedings may be interrupted on a \'point of order\' if procedures or rules are not being kept to in a meeting,key point
Proxy: literally \'on behalf of another person\' - proxy vote,key point
Quorum: the number of people needed to be in attendance for a meeting to be legitimate and so commence,key point
Refer back:ÿto pass an item back for further consideration,key point
Seconder: one who supports the \'proposer\' of a motion or proposal by \'seconding\' it,key point
Secretary: committee official responsible for the internal and external administration of a committee,key point
Secret ballot: a system of voting in secret,key point
Shelve: to drop a motion which has no support,key point
Sine die:ÿfrom Latin literally \'without a day\' that is to say indefinitely e.g. \'adjourned sine die\'.,key point
Ultra vires: beyond the authority of the meeting to consider,key point
Soÿlet?s start with item number one,key point
We have a number of important matters on the agenda today.,key point
increasing our cooperation on a global level,key point
The first itemÿon the agenda that we need to discuss today,key point
Ram Says,ignore
Sarma Suggested,decision
One minute please it seems we haven?t discussedÿthe individual project deadlines,ignore
Read the agenda and all accompanying material including the previous minutes before the meeting,ignore
Bring all necessary reports and information to the meeting,key point
Be prepared to discuss the items on the agenda,ignore
Avoid emotional and tactless remarks,ignore
Address all remarks through the chair,ignore
Give everyone an equal chance to speak,ignore
Begin the meeting with introductions with special attention paid to newcomers.,key point
Meeting Chairman:ÿIf we are all here let\'s get started. First of all I had like you to please join me in welcoming Jack Peterson our Southwest Area Sales Vice President.,key point
Jack Peterson:ÿThank you for having me I am looking forward to today\'s meeting.,key point
Meeting Chairman:ÿÿI had also like to introduce Margaret Simmons who recently joined our team.,key point
Margaret Simmons:ÿMay I also introduce my assistant Bob Hamp.,key point
Meeting Chairman:ÿÿWelcome Bob. I am afraid our national sales director Anne Trusting can\'t be with us today. She is in Kobe at the moment developing our Far East sales force.,key point
BEGINNING THE MEETING,ignore
DISCUSSING ITEMS,ignore
Discuss items on the agenda making sure to paraphrase and clarify as you move through the meeting.,key point
Jack Peterson:ÿÿBefore I begin the report I had like to get some ideas from you all. How do you feel about rural sales in your sales districts? I suggest we go round the table first to get all of your input.,key point
John Ruting:ÿIn my opinion we have been focusing too much on urban customers and their needs. The way I see things we need to return to our rural base by developing anÿadvertisingÿcampaign to focus on their particular needs.,key point
Donald Peters:ÿExcuse me I didn\'t catch that. Could you repeat that please?,key point
Alice Linnes:ÿI just stated that we need to give our rural sales teams better customer information reporting.,key point
John Ruting:ÿI do not quite follow you. What exactly do you mean?,key point
Alice Linnes:ÿWell we provide our city sales staff with database information on all of our larger clients. We should be providing the same sort of knowledge on our rural customers to our sales staff there.,key point
Jack Peterson:ÿÿWould you like to add anything Jennifer?,key point
Jennifer Miles:ÿI must admit I never thought about rural sales that way before.,key point
Meeting Chairman:ÿÿUnfortunately We were running short of time. We\'ll have to leave that to another time.,key point
Rural customers need special help to feel more valued.,key point
Our sales teams need more accurate information on our customers.,key point
We are considering specific data mining procedures to help deepen our understanding.,key point
May I have a word?,ignore
If I may I think.,ignore
Excuse me for interrupting.,ignore
These questions will help you ask for feedback andÿopinionsÿduring a conversation:,key point
Good point!,ignore
I get your point.,ignore
I see what you mean.,ignore
ASKING FOR REPETITION,ignore
If you do not understand what\'s been said use one of these phrases:ÿ,key point
I didn\'t catch that.,ignore
Could you repeat that please?,ignore
I missed that. Could you say it again please?,key point
Could you run that by me one more time?,key point
ASKING FOR CLARIFICATION,key point
If you\'d like to check on some of the details use these phrases to ask for more details and get clarification:ÿ,key point
I am afraid I do notÿunderstand what your are getting at.,key point
Could you explain to me how that is going to work?,key point
I do not see what you mean. Could we have some more details please?,key point
CORRECTING INFORMATION,key point
At times it\'s necessary to correct what someone else has said if it\'s vital to the conversation. Use these phrases to correct information:,key point
Sorry that\'s not quite right.,key point
I am afraid you do not understand what I am saying.,key point
That\'s not quite what I had in mind.,key point
That\'s not what I meant.,key point
last but not least,key point
today final call,key point
sounds good,key point
lets review the action point points,key point
why this was happened ,key point
what about the budget ,key point
show me the plan,key point
show me all the documentation,key point
let me look at the plan,key point
what happened to these issues and risks,key point
we need to discuss on agenda points,key point
what was happened on last meeting,key point
what is an outcome from previous meeting,key point
let me explain about the ,key point
purpose of the meeting,key point
tell me about the main issues and risks,key point
If we want to stay ahead of the pack We were going to have to work hard and continue to innovate.,key point
I think they got the government contract because of a backroom deal.,key point
I am not sure what a Super Bowl commercial costs but to give you a ballpark figure I had say about three million dollars.,key point
It\'s a blue collar town with a lot of farmers and factory workers.,key point
The employees complained about the change in policy but the supervisor refused to cave in.,key point
It\'s nice to go on business trips because it\'s a change of pace.,key point
The charity fund raiser was supposed to raise three million dollars but we came up short.,key point
He was a diamond in the rough. He was intelligent and had great ideas but his management and English skills weren\'t very good.,key point
A lot of people who inherit money waste it on stupid things. I guess it\'s easy come easy go.,key point
My business partner and I split everything fifty-fifty.,key point
Bill Gates built Microsoft from the ground up.,key point
They\'re not sure what their game plan is for the upcoming election.,key point
I always remember my coworkers\' birthdays and get them a card or small gift. I like to get on people\'s good side.,key point
The boss gave Brian a pat on the back for coming up with such a good idea.,key point
I can\'t believe she gave us the thumbs down. I thought it was a great idea.,key point
I would love to get you a job at my company but my hands are tied. Management isn\'t hiring any additional employees this year.,key point
She has to sell $action point5000 worth of products by the end of the month. She has her work cut out for her.,key point
Construction on the new site is in full swing now.,key point
We were not having a great year but at least We were in the black.,key point
I am not used to being in the driver\'s seat. I should probably buy some management books.,key point
Our boss had been unhappy with Brian\'s performance for a while but it was the last straw when he came to work three hours late without calling.,key point
I like my new position. I am starting to learn the ropes.,key point
Some people complain that millionaires avoid paying taxes by finding loopholes in tax laws.,key point
Apple lost some ground to Samsung last quarter.,key point
It\'s a lose-lose situation. If they lay off more workers they\'ll get bad press. If they do not lay off more workers they won\'t be able to compete.,key point
She was tired of working a nine-to-five job so she took her savings and opened a restaurant.,key point
Taking the new job was a no brainer. They offered me more money a better schedule and more vacation days.,key point
They will let you try the product for free with no strings attached. If you do not like it there is no pressure to buy it.,key point
I told them I had be finished by the end of the day and it\'s already 4:45. I need to get to work. There\'s no time to lose.,key point
Our profits have been above our projected numbers for five months in a row. We were really on a roll.,key point
Let\'s go over the details of what we agreed on to make sure We were on the same page.,key point
I read a lot to stay on top of the latest changes in my industry.,key point
I felt like I was out of the loop after being on vacation for two weeks.,key point
He played hardball to get where he is so I would be careful what you say and do around him.,key point
It\'s not good to only invest in the stock market. You do not want to put all your eggs in one basket.,key point
They were trying to find investors without even having a business plan. They were putting the cart before the horse.,key point
He didn\'t say that he wants to leave the company but I can read between the lines. He\'s not happy here.,key point
The new law is going to create a lot of red tape and We were going to have to pay our lawyers a lot more money.,key point
I had ask for a raise but I do not want to rock the boat.,key point
We have round-the-clock production at all our manufacturing facilities.,key point
Everyone kept restating their opinions but nothing was agreed on. We were running around in circles.,key point
