,price,place,built,sqft,sale,yearsOld,floor,totalFloor,bhk
128,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2803,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2517,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1283,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2695,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2454,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1981,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2477,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
445,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1578,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1307,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
615,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2032,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1930,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2772,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
483,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
254,47500000,Rajaji Nagar,Super built-up  Area,3526,Resale,5,17,29,17
2814,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2378,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2081,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2309,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
221,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
77,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2112,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2134,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2033,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
21,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
299,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2863,32500000,Sarakki Nagar,Super built-up  Area,2500,Resale,5,2,5,2
565,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2509,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
720,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2826,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
588,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
332,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
461,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2131,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
885,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2149,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2058,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1530,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
412,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1516,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2431,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2942,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
318,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
903,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2463,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2437,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1757,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2220,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1709,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2788,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2358,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
505,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
839,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
240,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1236,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
249,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2333,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
937,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2678,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
245,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1046,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1040,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1946,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2702,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1494,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
309,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1984,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2914,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1337,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2873,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1657,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1557,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2136,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1711,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2371,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1602,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
798,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
614,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
991,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
783,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1987,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1292,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
775,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2631,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
670,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
749,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
558,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2711,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1653,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2886,6600000,Gunjur,Super built-up  Area,1356,Resale,5,1,4,1
1344,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1024,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
684,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2714,47500000,Rajaji Nagar,Super built-up  Area,3526,Resale,5,17,29,17
1874,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
663,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2708,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2395,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2818,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2148,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
900,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
960,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
979,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
867,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
770,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
476,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1051,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2461,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1290,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1203,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
174,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2129,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2140,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
39,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2740,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1685,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
913,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1268,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
376,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
101,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1746,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
446,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1900,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2877,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1015,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
468,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2543,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1267,29300000,Malleshwaram,Super built-up  Area,2475,Resale,5,15,23,15
1899,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
167,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1012,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2744,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1666,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
469,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
406,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2601,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
745,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1589,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2403,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1192,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2938,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2927,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
894,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1997,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
114,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
698,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
396,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
678,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
168,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
415,29300000,Malleshwaram,Super built-up  Area,2475,Resale,5,15,23,15
289,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1351,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1962,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
323,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1451,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
586,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2300,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1811,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2433,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1595,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1072,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2067,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1602,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1579,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1591,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
917,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2453,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1677,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1581,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2578,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2447,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
58,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
293,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2780,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1700,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
606,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1371,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
771,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
623,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1539,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
316,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2339,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1867,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
377,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1629,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
86,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2293,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2568,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1262,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1585,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1605,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1243,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2400,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2386,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2525,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
987,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1542,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
544,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1521,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2601,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1983,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1778,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
590,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1285,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1576,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1987,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
728,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2393,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1485,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1095,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
154,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2727,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2092,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
77,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2846,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1481,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
756,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2346,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1607,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2065,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
522,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2800,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
231,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2612,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1327,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
259,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2598,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
272,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2517,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1983,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1477,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
196,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2086,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2534,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1935,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
941,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
898,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1500,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1457,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1716,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1606,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2852,32500000,Sarakki Nagar,Super built-up  Area,2500,Resale,5,2,5,2
199,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
137,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1250,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2175,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
627,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
